,role_0,role_1,role_2,role_3
10,0.99,0.0,0.0,0.0
35,0.0,0.59,0.41,0.0
60,0.25,0.25,0.25,0.25
65,1.0,0.0,0.0,0.0
94,0.25,0.25,0.25,0.25
102,0.0,0.6,0.4,0.0
107,0.0,0.0,1.0,0.0
149,0.97,0.01,0.01,0.01
176,0.0,0.61,0.39,0.0
180,0.97,0.01,0.01,0.01
181,0.99,0.0,0.0,0.0
187,0.99,0.0,0.0,0.0
202,0.25,0.25,0.25,0.25
214,0.99,0.0,0.0,0.0
219,0.0,0.0,1.0,0.0
229,0.99,0.0,0.0,0.0
240,0.0,0.6,0.4,0.0
270,0.25,0.25,0.25,0.25
273,0.99,0.0,0.0,0.0
297,0.99,0.0,0.0,0.0
305,0.97,0.01,0.01,0.01
315,0.99,0.0,0.0,0.0
327,0.99,0.0,0.0,0.0
332,0.99,0.0,0.0,0.0
358,1.0,0.0,0.0,0.0
359,0.0,0.0,1.0,0.0
360,0.25,0.25,0.25,0.25
384,0.25,0.25,0.25,0.25
387,0.99,0.0,0.0,0.0
398,0.97,0.01,0.01,0.01
399,0.25,0.25,0.25,0.25
411,0.0,0.59,0.41,0.0
412,0.97,0.01,0.01,0.01
433,0.99,0.0,0.0,0.0
450,0.99,0.0,0.0,0.0
453,0.25,0.25,0.25,0.25
454,0.25,0.25,0.25,0.25
484,0.99,0.0,0.0,0.0
509,0.99,0.0,0.0,0.0
530,0.0,0.6,0.4,0.0
537,0.99,0.0,0.0,0.0
540,0.0,0.6,0.4,0.0
551,0.97,0.01,0.01,0.01
557,0.25,0.25,0.25,0.25
560,0.25,0.25,0.25,0.25
576,0.99,0.0,0.0,0.0
584,0.99,0.0,0.0,0.0
597,0.25,0.25,0.25,0.25
615,0.25,0.25,0.25,0.25
616,0.99,0.0,0.0,0.0
662,0.99,0.0,0.0,0.0
665,1.0,0.0,0.0,0.0
668,0.25,0.25,0.25,0.25
675,0.25,0.25,0.25,0.25
676,0.99,0.0,0.0,0.0
682,0.99,0.0,0.0,0.0
684,0.97,0.01,0.01,0.01
688,0.99,0.0,0.0,0.0
696,0.25,0.25,0.25,0.25
698,0.0,0.6,0.4,0.0
700,0.25,0.25,0.25,0.25
714,0.99,0.0,0.0,0.0
716,0.0,0.6,0.4,0.0
719,0.99,0.0,0.0,0.0
733,0.99,0.0,0.0,0.0
752,0.97,0.01,0.01,0.01
758,1.0,0.0,0.0,0.0
764,0.0,0.61,0.39,0.0
767,0.97,0.01,0.01,0.01
780,0.99,0.0,0.0,0.0
795,0.99,0.0,0.0,0.0
815,0.25,0.25,0.25,0.25
819,1.0,0.0,0.0,0.0
821,0.99,0.0,0.0,0.0
848,0.99,0.0,0.0,0.0
851,0.99,0.0,0.0,0.0
858,0.99,0.0,0.0,0.0
884,0.99,0.0,0.0,0.0
890,0.99,0.0,0.0,0.0
903,0.97,0.01,0.01,0.01
907,0.0,0.6,0.4,0.0
910,1.0,0.0,0.0,0.0
917,0.0,0.6,0.4,0.0
931,0.0,0.6,0.4,0.0
932,0.99,0.0,0.0,0.0
934,0.0,0.59,0.41,0.0
954,0.25,0.25,0.25,0.25
976,0.99,0.0,0.0,0.0
982,0.0,0.59,0.41,0.0
1000,0.97,0.01,0.01,0.01
1011,0.97,0.01,0.01,0.01
1026,0.99,0.0,0.0,0.0
1037,0.99,0.0,0.0,0.0
1045,0.25,0.25,0.25,0.25
1048,0.99,0.0,0.0,0.0
1066,1.0,0.0,0.0,0.0
1095,0.97,0.01,0.01,0.01
1105,0.97,0.01,0.01,0.01
1127,0.99,0.0,0.0,0.0
1131,0.0,0.0,1.0,0.0
1145,0.99,0.0,0.0,0.0
1153,0.99,0.0,0.0,0.0
1165,0.25,0.25,0.25,0.25
1179,1.0,0.0,0.0,0.0
1189,1.0,0.0,0.0,0.0
1190,0.99,0.0,0.0,0.0
1194,0.99,0.0,0.0,0.0
1198,0.25,0.25,0.25,0.25
1199,0.99,0.0,0.0,0.0
1200,0.25,0.25,0.25,0.25
1261,0.25,0.25,0.25,0.25
1270,0.0,0.0,1.0,0.0
1273,0.25,0.25,0.25,0.25
1283,0.25,0.25,0.25,0.25
1288,0.25,0.25,0.25,0.25
1293,0.99,0.0,0.0,0.0
1297,0.25,0.25,0.25,0.25
1312,0.99,0.0,0.0,0.0
1319,0.97,0.01,0.01,0.01
1344,0.97,0.01,0.01,0.01
1355,0.99,0.0,0.0,0.0
1358,0.25,0.25,0.25,0.25
1359,0.25,0.25,0.25,0.25
1366,0.99,0.0,0.0,0.0
1367,0.97,0.01,0.01,0.01
1377,0.99,0.0,0.0,0.0
1396,0.97,0.01,0.01,0.01
1405,0.0,0.6,0.4,0.0
1417,0.0,0.59,0.41,0.0
1425,0.99,0.0,0.0,0.0
1426,0.97,0.01,0.01,0.01
1429,0.97,0.01,0.01,0.01
1439,0.99,0.0,0.0,0.0
1465,0.25,0.25,0.25,0.25
1486,0.99,0.0,0.0,0.0
1494,0.25,0.25,0.25,0.25
1521,0.99,0.0,0.0,0.0
1522,0.25,0.25,0.25,0.25
1523,0.97,0.01,0.01,0.01
1551,1.0,0.0,0.0,0.0
1557,0.25,0.25,0.25,0.25
1563,0.97,0.01,0.01,0.01
1569,0.99,0.0,0.0,0.0
1581,0.0,0.59,0.41,0.0
1591,0.25,0.25,0.25,0.25
1602,0.25,0.25,0.25,0.25
1616,0.99,0.0,0.0,0.0
1619,0.99,0.0,0.0,0.0
1625,0.0,0.59,0.41,0.0
1632,0.99,0.0,0.0,0.0
1640,0.99,0.0,0.0,0.0
1644,0.97,0.01,0.01,0.01
1655,0.0,0.6,0.4,0.0
1669,1.0,0.0,0.0,0.0
1673,0.97,0.01,0.01,0.01
1685,0.25,0.25,0.25,0.25
1688,0.25,0.25,0.25,0.25
1691,0.97,0.01,0.01,0.01
1706,0.97,0.01,0.01,0.01
1725,0.99,0.0,0.0,0.0
1726,0.99,0.0,0.0,0.0
1748,0.99,0.0,0.0,0.0
1769,0.0,0.6,0.4,0.0
1771,0.0,0.59,0.41,0.0
1779,0.25,0.25,0.25,0.25
1783,0.0,0.6,0.4,0.0
1789,0.99,0.0,0.0,0.0
1799,0.99,0.0,0.0,0.0
1815,0.99,0.0,0.0,0.0
1819,0.97,0.01,0.01,0.01
1828,0.25,0.25,0.25,0.25
1848,0.99,0.0,0.0,0.0
1873,0.25,0.25,0.25,0.25
1897,0.97,0.01,0.01,0.01
1909,0.97,0.01,0.01,0.01
1927,0.99,0.0,0.0,0.0
1930,0.99,0.0,0.0,0.0
1934,1.0,0.0,0.0,0.0
1938,0.99,0.0,0.0,0.0
1944,0.97,0.01,0.01,0.01
1945,1.0,0.0,0.0,0.0
1974,0.99,0.0,0.0,0.0
1979,0.97,0.01,0.01,0.01
1994,0.99,0.0,0.0,0.0
2022,0.25,0.25,0.25,0.25
2034,0.97,0.01,0.01,0.01
2039,0.99,0.0,0.0,0.0
2070,0.0,0.59,0.41,0.0
2075,0.25,0.25,0.25,0.25
2081,0.99,0.0,0.0,0.0
2084,0.25,0.25,0.25,0.25
2089,0.25,0.25,0.25,0.25
2103,0.25,0.25,0.25,0.25
2106,0.0,0.6,0.4,0.0
2124,0.25,0.25,0.25,0.25
2155,0.25,0.25,0.25,0.25
2181,0.97,0.01,0.01,0.01
2194,0.99,0.0,0.0,0.0
2195,0.97,0.01,0.01,0.01
2221,0.0,0.0,1.0,0.0
2233,0.25,0.25,0.25,0.25
2262,0.25,0.25,0.25,0.25
2263,0.97,0.01,0.01,0.01
2285,0.97,0.01,0.01,0.01
2304,1.0,0.0,0.0,0.0
2316,0.0,0.6,0.4,0.0
2325,0.25,0.25,0.25,0.25
2346,0.99,0.0,0.0,0.0
2354,0.0,0.61,0.39,0.0
2365,0.0,0.59,0.41,0.0
2369,0.25,0.25,0.25,0.25
2397,0.99,0.0,0.0,0.0
2409,0.25,0.25,0.25,0.25
2427,0.25,0.25,0.25,0.25
2443,0.25,0.25,0.25,0.25
2460,0.99,0.0,0.0,0.0
2472,0.25,0.25,0.25,0.25
2487,0.97,0.01,0.01,0.01
2497,0.97,0.01,0.01,0.01
2530,0.97,0.01,0.01,0.01
2550,0.97,0.01,0.01,0.01
2564,0.25,0.25,0.25,0.25
2576,0.99,0.0,0.0,0.0
2585,0.97,0.01,0.01,0.01
2587,0.25,0.25,0.25,0.25
2601,0.97,0.01,0.01,0.01
2609,0.97,0.01,0.01,0.01
2622,0.25,0.25,0.25,0.25
2625,0.97,0.01,0.01,0.01
2628,0.99,0.0,0.0,0.0
2665,0.25,0.25,0.25,0.25
2697,0.0,0.59,0.41,0.0
2715,0.99,0.0,0.0,0.0
2735,0.99,0.0,0.0,0.0
2742,0.25,0.25,0.25,0.25
2747,0.97,0.01,0.01,0.01
2758,0.0,0.6,0.4,0.0
2760,0.25,0.25,0.25,0.25
2766,0.99,0.0,0.0,0.0
2774,0.99,0.0,0.0,0.0
2799,0.99,0.0,0.0,0.0
2806,0.0,0.0,1.0,0.0
2807,0.97,0.01,0.01,0.01
2828,0.99,0.0,0.0,0.0
2830,0.99,0.0,0.0,0.0
2836,1.0,0.0,0.0,0.0
2847,0.99,0.0,0.0,0.0
2867,0.0,0.0,1.0,0.0
2881,0.25,0.25,0.25,0.25
2906,0.0,0.0,1.0,0.0
2907,0.25,0.25,0.25,0.25
2940,0.25,0.25,0.25,0.25
2957,0.25,0.25,0.25,0.25
2971,0.97,0.01,0.01,0.01
2986,0.0,0.0,1.0,0.0
2992,0.25,0.25,0.25,0.25
2999,0.25,0.25,0.25,0.25
3000,0.25,0.25,0.25,0.25
3005,0.99,0.0,0.0,0.0
3006,0.25,0.25,0.25,0.25
3025,0.97,0.01,0.01,0.01
3026,0.25,0.25,0.25,0.25
3034,0.99,0.0,0.0,0.0
3058,1.0,0.0,0.0,0.0
3062,0.99,0.0,0.0,0.0
3067,0.0,0.6,0.4,0.0
3108,0.97,0.01,0.01,0.01
3130,0.99,0.0,0.0,0.0
3133,0.25,0.25,0.25,0.25
3137,0.25,0.25,0.25,0.25
3146,0.97,0.01,0.01,0.01
3162,0.99,0.0,0.0,0.0
3190,0.97,0.01,0.01,0.01
3199,0.99,0.0,0.0,0.0
3206,0.97,0.01,0.01,0.01
3214,1.0,0.0,0.0,0.0
3218,0.25,0.25,0.25,0.25
3226,0.25,0.25,0.25,0.25
3232,0.97,0.01,0.01,0.01
3233,0.99,0.0,0.0,0.0
3250,0.0,0.6,0.4,0.0
3255,0.99,0.0,0.0,0.0
3257,1.0,0.0,0.0,0.0
3285,1.0,0.0,0.0,0.0
3287,0.25,0.25,0.25,0.25
3290,0.25,0.25,0.25,0.25
3303,0.99,0.0,0.0,0.0
3312,0.97,0.01,0.01,0.01
3323,0.99,0.0,0.0,0.0
3326,0.97,0.01,0.01,0.01
3337,0.99,0.0,0.0,0.0
3342,0.0,0.59,0.41,0.0
3351,0.97,0.01,0.01,0.01
3378,0.97,0.01,0.01,0.01
3380,0.99,0.0,0.0,0.0
3382,0.0,0.61,0.39,0.0
3388,0.99,0.0,0.0,0.0
3395,0.25,0.25,0.25,0.25
3413,0.99,0.0,0.0,0.0
3425,0.99,0.0,0.0,0.0
3437,0.97,0.01,0.01,0.01
3439,0.97,0.01,0.01,0.01
3444,0.25,0.25,0.25,0.25
3446,1.0,0.0,0.0,0.0
3463,0.25,0.25,0.25,0.25
3465,0.97,0.01,0.01,0.01
3466,0.99,0.0,0.0,0.0
3476,0.99,0.0,0.0,0.0
3477,0.25,0.25,0.25,0.25
3488,0.97,0.01,0.01,0.01
3490,0.99,0.0,0.0,0.0
3519,0.25,0.25,0.25,0.25
3533,0.99,0.0,0.0,0.0
3534,0.99,0.0,0.0,0.0
3540,0.25,0.25,0.25,0.25
3557,0.25,0.25,0.25,0.25
3559,0.99,0.0,0.0,0.0
3569,0.97,0.01,0.01,0.01
3581,0.25,0.25,0.25,0.25
3589,0.0,0.0,1.0,0.0
3593,0.25,0.25,0.25,0.25
3620,0.99,0.0,0.0,0.0
3625,0.99,0.0,0.0,0.0
3631,0.99,0.0,0.0,0.0
3632,0.25,0.25,0.25,0.25
3679,0.99,0.0,0.0,0.0
3680,0.97,0.01,0.01,0.01
3693,0.99,0.0,0.0,0.0
3710,0.25,0.25,0.25,0.25
3726,0.99,0.0,0.0,0.0
3727,1.0,0.0,0.0,0.0
3751,0.97,0.01,0.01,0.01
3756,0.99,0.0,0.0,0.0
3761,0.25,0.25,0.25,0.25
3777,0.99,0.0,0.0,0.0
3781,0.25,0.25,0.25,0.25
3788,0.25,0.25,0.25,0.25
3790,0.99,0.0,0.0,0.0
3817,0.97,0.01,0.01,0.01
3818,0.97,0.01,0.01,0.01
3824,0.99,0.0,0.0,0.0
3829,0.0,0.0,1.0,0.0
3830,0.25,0.25,0.25,0.25
3854,0.99,0.0,0.0,0.0
3861,0.25,0.25,0.25,0.25
3885,0.25,0.25,0.25,0.25
3896,0.25,0.25,0.25,0.25
3899,0.25,0.25,0.25,0.25
3900,0.99,0.0,0.0,0.0
3912,0.25,0.25,0.25,0.25
3920,0.99,0.0,0.0,0.0
3955,0.99,0.0,0.0,0.0
3969,0.25,0.25,0.25,0.25
3992,0.97,0.01,0.01,0.01
3994,0.0,0.0,1.0,0.0
3996,0.99,0.0,0.0,0.0
4000,0.97,0.01,0.01,0.01
4001,0.97,0.01,0.01,0.01
4011,0.99,0.0,0.0,0.0
4012,0.99,0.0,0.0,0.0
4022,0.97,0.01,0.01,0.01
4029,0.99,0.0,0.0,0.0
4038,0.25,0.25,0.25,0.25
4039,0.99,0.0,0.0,0.0
4079,0.25,0.25,0.25,0.25
4097,0.25,0.25,0.25,0.25
4098,0.25,0.25,0.25,0.25
4100,0.99,0.0,0.0,0.0
4102,1.0,0.0,0.0,0.0
4118,0.25,0.25,0.25,0.25
4145,0.25,0.25,0.25,0.25
4159,0.99,0.0,0.0,0.0
4177,0.0,0.0,1.0,0.0
4182,0.25,0.25,0.25,0.25
4192,1.0,0.0,0.0,0.0
4210,0.0,0.6,0.4,0.0
4211,0.25,0.25,0.25,0.25
4224,0.97,0.01,0.01,0.01
4225,0.25,0.25,0.25,0.25
4232,0.99,0.0,0.0,0.0
4262,0.99,0.0,0.0,0.0
4295,0.25,0.25,0.25,0.25
4311,0.25,0.25,0.25,0.25
4330,0.97,0.01,0.01,0.01
4332,0.99,0.0,0.0,0.0
4336,0.25,0.25,0.25,0.25
4340,0.25,0.25,0.25,0.25
4349,0.99,0.0,0.0,0.0
4350,1.0,0.0,0.0,0.0
4351,0.97,0.01,0.01,0.01
4361,0.0,0.61,0.39,0.0
4376,0.0,0.6,0.4,0.0
4383,0.0,0.6,0.4,0.0
4405,0.25,0.25,0.25,0.25
4419,0.25,0.25,0.25,0.25
4420,0.99,0.0,0.0,0.0
4431,0.25,0.25,0.25,0.25
4443,0.97,0.01,0.01,0.01
4460,0.25,0.25,0.25,0.25
4463,0.25,0.25,0.25,0.25
4478,1.0,0.0,0.0,0.0
4482,0.99,0.0,0.0,0.0
4498,0.99,0.0,0.0,0.0
4502,0.25,0.25,0.25,0.25
4505,0.97,0.01,0.01,0.01
4514,0.99,0.0,0.0,0.0
4533,0.25,0.25,0.25,0.25
4570,0.0,0.0,1.0,0.0
4574,0.25,0.25,0.25,0.25
4603,0.99,0.0,0.0,0.0
4604,0.97,0.01,0.01,0.01
4610,0.99,0.0,0.0,0.0
4620,0.97,0.01,0.01,0.01
4647,0.0,0.6,0.4,0.0
4650,0.25,0.25,0.25,0.25
4666,0.97,0.01,0.01,0.01
4684,0.99,0.0,0.0,0.0
4704,0.99,0.0,0.0,0.0
4707,0.25,0.25,0.25,0.25
4730,0.97,0.01,0.01,0.01
4732,0.25,0.25,0.25,0.25
4765,0.99,0.0,0.0,0.0
4770,0.25,0.25,0.25,0.25
4804,0.0,0.6,0.4,0.0
4823,0.99,0.0,0.0,0.0
4853,0.0,0.6,0.4,0.0
4860,0.99,0.0,0.0,0.0
4883,0.97,0.01,0.01,0.01
4885,0.99,0.0,0.0,0.0
4889,0.99,0.0,0.0,0.0
4892,0.25,0.25,0.25,0.25
4916,0.99,0.0,0.0,0.0
4917,0.0,0.6,0.4,0.0
4977,0.97,0.01,0.01,0.01
4983,0.0,0.6,0.4,0.0
5029,1.0,0.0,0.0,0.0
5047,0.25,0.25,0.25,0.25
5053,0.25,0.25,0.25,0.25
5058,0.97,0.01,0.01,0.01
5063,0.97,0.01,0.01,0.01
5080,0.99,0.0,0.0,0.0
5103,0.97,0.01,0.01,0.01
5129,0.99,0.0,0.0,0.0
5136,0.97,0.01,0.01,0.01
5139,0.25,0.25,0.25,0.25
5140,0.97,0.01,0.01,0.01
5150,0.99,0.0,0.0,0.0
5155,0.99,0.0,0.0,0.0
5160,0.0,0.61,0.39,0.0
5161,0.0,0.0,1.0,0.0
5175,0.97,0.01,0.01,0.01
5178,0.25,0.25,0.25,0.25
5197,0.25,0.25,0.25,0.25
5206,0.99,0.0,0.0,0.0
5209,0.99,0.0,0.0,0.0
5210,0.25,0.25,0.25,0.25
5224,0.99,0.0,0.0,0.0
5227,0.25,0.25,0.25,0.25
5244,0.99,0.0,0.0,0.0
5267,0.25,0.25,0.25,0.25
5271,0.99,0.0,0.0,0.0
5276,0.0,0.59,0.41,0.0
5281,0.0,0.6,0.4,0.0
5309,1.0,0.0,0.0,0.0
5314,0.25,0.25,0.25,0.25
5329,0.25,0.25,0.25,0.25
5340,0.99,0.0,0.0,0.0
5341,0.99,0.0,0.0,0.0
5344,0.97,0.01,0.01,0.01
5351,0.25,0.25,0.25,0.25
5355,0.97,0.01,0.01,0.01
5358,0.99,0.0,0.0,0.0
5364,1.0,0.0,0.0,0.0
5370,0.25,0.25,0.25,0.25
5375,0.99,0.0,0.0,0.0
5390,1.0,0.0,0.0,0.0
5416,0.99,0.0,0.0,0.0
5425,0.0,0.6,0.4,0.0
5428,0.25,0.25,0.25,0.25
5440,0.99,0.0,0.0,0.0
5441,0.99,0.0,0.0,0.0
5467,0.99,0.0,0.0,0.0
5469,0.99,0.0,0.0,0.0
5487,0.25,0.25,0.25,0.25
5510,0.99,0.0,0.0,0.0
5518,0.99,0.0,0.0,0.0
5527,1.0,0.0,0.0,0.0
5531,0.99,0.0,0.0,0.0
5541,0.97,0.01,0.01,0.01
5560,0.97,0.01,0.01,0.01
5563,0.99,0.0,0.0,0.0
5596,0.0,0.59,0.41,0.0
5603,0.99,0.0,0.0,0.0
5605,1.0,0.0,0.0,0.0
5627,0.99,0.0,0.0,0.0
5634,0.99,0.0,0.0,0.0
5644,0.25,0.25,0.25,0.25
5648,0.99,0.0,0.0,0.0
5649,0.25,0.25,0.25,0.25
5653,0.99,0.0,0.0,0.0
5655,0.25,0.25,0.25,0.25
5656,1.0,0.0,0.0,0.0
5673,0.25,0.25,0.25,0.25
5700,0.97,0.01,0.01,0.01
5701,0.99,0.0,0.0,0.0
5703,0.0,0.6,0.4,0.0
5717,0.25,0.25,0.25,0.25
5720,0.99,0.0,0.0,0.0
5737,0.97,0.01,0.01,0.01
5747,0.97,0.01,0.01,0.01
5783,0.25,0.25,0.25,0.25
5794,0.97,0.01,0.01,0.01
5809,0.97,0.01,0.01,0.01
5818,0.25,0.25,0.25,0.25
5841,0.99,0.0,0.0,0.0
5846,0.25,0.25,0.25,0.25
5855,0.99,0.0,0.0,0.0
5857,0.25,0.25,0.25,0.25
5872,0.99,0.0,0.0,0.0
5894,0.25,0.25,0.25,0.25
5896,0.0,0.61,0.39,0.0
5905,0.0,0.61,0.39,0.0
5906,0.25,0.25,0.25,0.25
5923,0.99,0.0,0.0,0.0
5937,0.99,0.0,0.0,0.0
5943,0.99,0.0,0.0,0.0
5944,0.25,0.25,0.25,0.25
5950,0.97,0.01,0.01,0.01
5952,0.0,0.6,0.4,0.0
5955,1.0,0.0,0.0,0.0
5995,0.99,0.0,0.0,0.0
6027,0.25,0.25,0.25,0.25
6028,0.97,0.01,0.01,0.01
6043,0.99,0.0,0.0,0.0
6047,0.99,0.0,0.0,0.0
6098,0.0,0.6,0.4,0.0
6106,0.99,0.0,0.0,0.0
6113,0.25,0.25,0.25,0.25
6117,0.99,0.0,0.0,0.0
6121,0.25,0.25,0.25,0.25
6135,0.99,0.0,0.0,0.0
6151,0.97,0.01,0.01,0.01
6165,0.0,0.6,0.4,0.0
6168,0.97,0.01,0.01,0.01
6171,0.25,0.25,0.25,0.25
6182,0.0,0.6,0.4,0.0
6206,0.0,0.6,0.4,0.0
6226,0.25,0.25,0.25,0.25
6233,0.25,0.25,0.25,0.25
6237,1.0,0.0,0.0,0.0
6246,0.99,0.0,0.0,0.0
6247,0.25,0.25,0.25,0.25
6271,0.25,0.25,0.25,0.25
6282,0.99,0.0,0.0,0.0
6284,1.0,0.0,0.0,0.0
6321,0.25,0.25,0.25,0.25
6325,0.97,0.01,0.01,0.01
6334,0.25,0.25,0.25,0.25
6345,0.25,0.25,0.25,0.25
6358,0.97,0.01,0.01,0.01
6359,0.25,0.25,0.25,0.25
6371,0.25,0.25,0.25,0.25
6407,0.25,0.25,0.25,0.25
6408,0.0,0.6,0.4,0.0
6410,0.99,0.0,0.0,0.0
6411,0.99,0.0,0.0,0.0
6412,0.25,0.25,0.25,0.25
6427,1.0,0.0,0.0,0.0
6446,0.99,0.0,0.0,0.0
6455,0.99,0.0,0.0,0.0
6471,0.25,0.25,0.25,0.25
6478,0.25,0.25,0.25,0.25
6481,1.0,0.0,0.0,0.0
6501,0.25,0.25,0.25,0.25
6503,0.99,0.0,0.0,0.0
6520,0.25,0.25,0.25,0.25
6525,1.0,0.0,0.0,0.0
6535,0.99,0.0,0.0,0.0
6543,0.97,0.01,0.01,0.01
6546,1.0,0.0,0.0,0.0
6552,0.97,0.01,0.01,0.01
6554,0.97,0.01,0.01,0.01
6568,0.25,0.25,0.25,0.25
6572,0.25,0.25,0.25,0.25
6574,0.99,0.0,0.0,0.0
6578,0.0,0.0,1.0,0.0
6587,0.97,0.01,0.01,0.01
6600,0.99,0.0,0.0,0.0
6609,0.25,0.25,0.25,0.25
6612,0.99,0.0,0.0,0.0
6644,0.25,0.25,0.25,0.25
6655,0.99,0.0,0.0,0.0
6663,0.25,0.25,0.25,0.25
6689,0.99,0.0,0.0,0.0
6699,0.0,0.6,0.4,0.0
6712,0.25,0.25,0.25,0.25
6720,0.25,0.25,0.25,0.25
6757,0.25,0.25,0.25,0.25
6760,0.25,0.25,0.25,0.25
6761,0.0,0.6,0.4,0.0
6792,0.99,0.0,0.0,0.0
6800,0.99,0.0,0.0,0.0
6810,0.25,0.25,0.25,0.25
6821,0.97,0.01,0.01,0.01
6822,0.99,0.0,0.0,0.0
6851,0.25,0.25,0.25,0.25
6888,0.25,0.25,0.25,0.25
6917,0.25,0.25,0.25,0.25
6941,0.99,0.0,0.0,0.0
6944,0.97,0.01,0.01,0.01
6970,0.99,0.0,0.0,0.0
6982,0.97,0.01,0.01,0.01
6983,0.99,0.0,0.0,0.0
6990,0.25,0.25,0.25,0.25
6999,0.25,0.25,0.25,0.25
7012,0.25,0.25,0.25,0.25
7013,1.0,0.0,0.0,0.0
7028,0.99,0.0,0.0,0.0
7035,0.25,0.25,0.25,0.25
7055,0.99,0.0,0.0,0.0
7072,0.99,0.0,0.0,0.0
7078,0.99,0.0,0.0,0.0
7097,0.25,0.25,0.25,0.25
7099,0.25,0.25,0.25,0.25
7109,0.97,0.01,0.01,0.01
7121,0.25,0.25,0.25,0.25
7132,0.97,0.01,0.01,0.01
7135,0.25,0.25,0.25,0.25
7141,0.99,0.0,0.0,0.0
7161,0.25,0.25,0.25,0.25
7167,0.25,0.25,0.25,0.25
7191,0.0,0.59,0.41,0.0
7198,0.99,0.0,0.0,0.0
7221,0.25,0.25,0.25,0.25
7223,0.99,0.0,0.0,0.0
7224,0.97,0.01,0.01,0.01
7260,0.99,0.0,0.0,0.0
7281,0.25,0.25,0.25,0.25
7285,0.0,0.6,0.4,0.0
7302,0.25,0.25,0.25,0.25
7309,0.0,0.6,0.4,0.0
7330,1.0,0.0,0.0,0.0
7334,0.99,0.0,0.0,0.0
7366,0.0,0.0,1.0,0.0
7383,0.97,0.01,0.01,0.01
7387,0.25,0.25,0.25,0.25
7389,0.99,0.0,0.0,0.0
7391,0.97,0.01,0.01,0.01
7392,0.25,0.25,0.25,0.25
7395,0.0,0.0,1.0,0.0
7396,0.0,0.6,0.4,0.0
7399,0.0,0.61,0.39,0.0
7405,0.97,0.01,0.01,0.01
7417,0.25,0.25,0.25,0.25
7433,0.25,0.25,0.25,0.25
7434,1.0,0.0,0.0,0.0
7444,0.0,0.6,0.4,0.0
7457,0.0,0.6,0.4,0.0
7458,0.25,0.25,0.25,0.25
7467,0.0,0.61,0.39,0.0
7478,0.99,0.0,0.0,0.0
7502,0.99,0.0,0.0,0.0
7504,0.25,0.25,0.25,0.25
7505,0.99,0.0,0.0,0.0
7518,1.0,0.0,0.0,0.0
7521,0.25,0.25,0.25,0.25
7529,0.25,0.25,0.25,0.25
7551,0.0,0.6,0.4,0.0
7577,0.25,0.25,0.25,0.25
7582,0.0,0.0,1.0,0.0
7596,0.99,0.0,0.0,0.0
7611,0.25,0.25,0.25,0.25
7619,0.97,0.01,0.01,0.01
7631,0.25,0.25,0.25,0.25
7648,0.0,0.61,0.39,0.0
7675,0.0,0.6,0.4,0.0
7692,0.97,0.01,0.01,0.01
7695,0.97,0.01,0.01,0.01
7709,0.99,0.0,0.0,0.0
7735,0.99,0.0,0.0,0.0
7747,0.97,0.01,0.01,0.01
7751,0.0,0.6,0.4,0.0
7762,0.25,0.25,0.25,0.25
7764,1.0,0.0,0.0,0.0
7771,0.97,0.01,0.01,0.01
7777,0.0,0.59,0.41,0.0
7780,1.0,0.0,0.0,0.0
7818,0.99,0.0,0.0,0.0
7823,0.25,0.25,0.25,0.25
7829,1.0,0.0,0.0,0.0
7837,1.0,0.0,0.0,0.0
7848,0.97,0.01,0.01,0.01
7854,0.25,0.25,0.25,0.25
7859,0.25,0.25,0.25,0.25
7871,0.99,0.0,0.0,0.0
7892,0.0,0.6,0.4,0.0
7930,0.25,0.25,0.25,0.25
7987,0.0,0.59,0.41,0.0
7990,0.99,0.0,0.0,0.0
8018,0.0,0.6,0.4,0.0
8037,0.25,0.25,0.25,0.25
8044,0.25,0.25,0.25,0.25
8070,0.99,0.0,0.0,0.0
8091,0.25,0.25,0.25,0.25
8118,0.99,0.0,0.0,0.0
8123,0.99,0.0,0.0,0.0
8124,0.0,0.0,1.0,0.0
8140,0.97,0.01,0.01,0.01
8168,0.99,0.0,0.0,0.0
8186,0.99,0.0,0.0,0.0
8188,0.25,0.25,0.25,0.25
8192,0.25,0.25,0.25,0.25
8214,0.25,0.25,0.25,0.25
8236,0.99,0.0,0.0,0.0
8237,0.25,0.25,0.25,0.25
8239,0.99,0.0,0.0,0.0
8240,0.25,0.25,0.25,0.25
8256,0.25,0.25,0.25,0.25
8262,0.99,0.0,0.0,0.0
8270,0.25,0.25,0.25,0.25
8285,0.99,0.0,0.0,0.0
8288,0.0,0.6,0.4,0.0
8294,0.99,0.0,0.0,0.0
8305,0.25,0.25,0.25,0.25
8306,0.25,0.25,0.25,0.25
8310,0.0,0.6,0.4,0.0
8324,0.97,0.01,0.01,0.01
8344,0.25,0.25,0.25,0.25
8345,0.25,0.25,0.25,0.25
8371,0.25,0.25,0.25,0.25
8388,0.0,0.59,0.41,0.0
8390,0.99,0.0,0.0,0.0
8411,1.0,0.0,0.0,0.0
8416,0.25,0.25,0.25,0.25
8424,0.0,0.59,0.41,0.0
8433,0.0,0.6,0.4,0.0
8449,0.25,0.25,0.25,0.25
8454,0.99,0.0,0.0,0.0
8465,0.25,0.25,0.25,0.25
8467,0.99,0.0,0.0,0.0
